id,item_id,page_number,title,loc_page_url,image,transcript,generation_review_flags,human_review_required
mss246610044_page_0166,mss246610044,166,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=166&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0166.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0166.txt,,True
mss246610044_page_0167,mss246610044,167,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=167&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0167.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0167.txt,unclosed_historical_document,True
mss246610044_page_0168,mss246610044,168,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=168&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0168.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0168.txt,,True
mss246610044_page_0169,mss246610044,169,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=169&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0169.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0169.txt,,True
mss246610044_page_0170,mss246610044,170,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=170&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0170.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0170.txt,,True
mss246610044_page_0171,mss246610044,171,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=171&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0171.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0171.txt,,True
mss246610044_page_0172,mss246610044,172,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=172&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0172.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0172.txt,,True
mss246610044_page_0173,mss246610044,173,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=173&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0173.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0173.txt,,True
mss246610044_page_0174,mss246610044,174,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=174&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0174.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0174.txt,,True
mss246610044_page_0175,mss246610044,175,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=175&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0175.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0175.txt,,True
